,Date,IN,Brighton Business School,Brighton and Sussex Medical School,IDS,Institute of Development Studies,International School - non deg,Library,Partner Colleges,Psychology,School of Applied Social Science,School of Architecture & Design,School of Art,School of Business and Management,School of Computing,School of Education and Social,School of Engineering and Informative,School of English,School of Environment and Technology,School of Global Studies,School of Health Sciences,School of History,School of History and Art History,School of Humanities,School of Law,"School of Law, Politics and Social",School of Life Sciences,School of Mathematical and Physics,"School of Media, Film and Music",School of Pharmacy and Bio Sci,School of Psychology,School of Sport and Service Management,Undergraduate,University of Brighton,other_school,Term_dates
671,2019-11-06,5675.0,5.0,77.0,100.0,0.0,0.0,1.0,85.0,441.0,3.0,3.0,0.0,1482.0,0.0,109.0,298.0,310.0,4.0,538.0,5.0,0.0,395.0,5.0,0.0,517.0,545.0,215.0,302.0,2.0,0.0,0.0,0.0,0.0,233.0,Autumn term
672,2019-11-07,6823.0,8.0,66.0,50.0,0.0,0.0,3.0,93.0,704.0,0.0,1.0,0.0,1841.0,2.0,81.0,360.0,463.0,1.0,549.0,0.0,0.0,558.0,5.0,0.0,555.0,639.0,284.0,268.0,6.0,0.0,0.0,0.0,0.0,286.0,Autumn term
673,2019-11-08,5191.0,4.0,61.0,85.0,1.0,0.0,2.0,120.0,525.0,2.0,0.0,0.0,1321.0,3.0,198.0,208.0,277.0,3.0,509.0,4.0,0.0,329.0,4.0,0.0,450.0,532.0,214.0,179.0,4.0,0.0,0.0,0.0,0.0,156.0,Autumn term
674,2019-11-09,2099.0,0.0,56.0,46.0,0.0,2.0,0.0,114.0,161.0,5.0,0.0,2.0,454.0,2.0,38.0,68.0,98.0,2.0,251.0,3.0,0.0,106.0,2.0,0.0,208.0,178.0,108.0,69.0,6.0,0.0,0.0,0.0,0.0,120.0,Autumn term
675,2019-11-10,2776.0,0.0,56.0,67.0,0.0,0.0,0.0,203.0,236.0,1.0,0.0,1.0,578.0,0.0,43.0,96.0,150.0,1.0,359.0,2.0,0.0,132.0,3.0,0.0,309.0,228.0,131.0,79.0,12.0,0.0,0.0,0.0,2.0,87.0,Autumn term
676,2019-11-11,8023.0,6.0,147.0,72.0,0.0,0.0,0.0,132.0,701.0,4.0,0.0,0.0,2017.0,4.0,79.0,349.0,423.0,2.0,928.0,3.0,0.0,524.0,4.0,0.0,970.0,783.0,303.0,320.0,4.0,0.0,0.0,0.0,0.0,248.0,Autumn term
677,2019-11-12,8552.0,0.0,53.0,77.0,0.0,0.0,1.0,106.0,677.0,2.0,2.0,0.0,2055.0,3.0,92.0,378.0,482.0,2.0,1005.0,2.0,0.0,653.0,6.0,0.0,1017.0,713.0,330.0,393.0,6.0,0.0,0.0,0.0,0.0,497.0,Autumn term
678,2019-11-13,7405.0,3.0,121.0,100.0,1.0,0.0,1.0,106.0,592.0,4.0,3.0,1.0,1767.0,2.0,79.0,265.0,441.0,0.0,939.0,6.0,0.0,480.0,2.0,0.0,946.0,609.0,259.0,352.0,7.0,0.0,2.0,0.0,0.0,317.0,Autumn term
679,2019-11-14,7588.0,1.0,98.0,31.0,0.0,0.0,2.0,155.0,654.0,6.0,0.0,1.0,1724.0,3.0,63.0,361.0,450.0,0.0,817.0,4.0,0.0,631.0,1.0,0.0,933.0,709.0,296.0,365.0,4.0,0.0,0.0,0.0,0.0,279.0,Autumn term
680,2019-11-15,5289.0,0.0,66.0,51.0,1.0,0.0,3.0,59.0,431.0,3.0,0.0,0.0,1091.0,0.0,119.0,192.0,340.0,0.0,656.0,0.0,0.0,335.0,4.0,0.0,703.0,590.0,204.0,248.0,10.0,0.0,0.0,0.0,0.0,183.0,Autumn term
681,2019-11-16,2163.0,0.0,52.0,94.0,0.0,0.0,0.0,48.0,173.0,1.0,0.0,0.0,442.0,6.0,29.0,78.0,157.0,0.0,252.0,0.0,0.0,138.0,2.0,0.0,256.0,143.0,63.0,126.0,16.0,0.0,0.0,0.0,0.0,87.0,Autumn term
682,2019-11-17,2799.0,0.0,93.0,137.0,0.0,0.0,0.0,110.0,209.0,1.0,0.0,0.0,567.0,5.0,33.0,79.0,179.0,1.0,316.0,0.0,0.0,183.0,4.0,0.0,291.0,229.0,111.0,156.0,6.0,0.0,0.0,0.0,0.0,89.0,Autumn term
683,2019-11-18,7761.0,3.0,155.0,71.0,0.0,0.0,1.0,103.0,705.0,3.0,0.0,0.0,1878.0,1.0,95.0,327.0,360.0,0.0,800.0,0.0,0.0,590.0,0.0,0.0,933.0,824.0,220.0,347.0,15.0,1.0,0.0,0.0,0.0,329.0,Autumn term
684,2019-11-19,7584.0,0.0,86.0,62.0,0.0,1.0,0.0,103.0,675.0,3.0,6.0,0.0,1948.0,5.0,64.0,322.0,373.0,0.0,763.0,0.0,0.0,527.0,3.0,0.0,978.0,670.0,270.0,401.0,9.0,1.0,0.0,0.0,0.0,314.0,Autumn term
685,2019-11-20,6650.0,5.0,172.0,52.0,0.0,0.0,0.0,51.0,565.0,12.0,2.0,0.0,1679.0,4.0,58.0,226.0,326.0,0.0,762.0,0.0,0.0,453.0,7.0,0.0,821.0,607.0,206.0,401.0,10.0,1.0,0.0,0.0,0.0,230.0,Autumn term
686,2019-11-21,6558.0,5.0,126.0,52.0,0.0,0.0,2.0,76.0,585.0,3.0,1.0,2.0,1633.0,2.0,55.0,312.0,341.0,0.0,678.0,1.0,0.0,438.0,0.0,0.0,808.0,632.0,208.0,337.0,16.0,2.0,0.0,0.0,0.0,243.0,Autumn term
687,2019-11-22,5004.0,0.0,134.0,46.0,0.0,0.0,1.0,55.0,483.0,3.0,0.0,0.0,1186.0,0.0,125.0,223.0,265.0,0.0,519.0,7.0,0.0,322.0,0.0,0.0,547.0,550.0,169.0,192.0,15.0,0.0,0.0,1.0,0.0,161.0,Autumn term
688,2019-11-23,1490.0,0.0,110.0,15.0,0.0,0.0,0.0,51.0,115.0,0.0,0.0,0.0,295.0,2.0,40.0,48.0,50.0,0.0,123.0,0.0,0.0,98.0,1.0,0.0,202.0,142.0,41.0,71.0,7.0,0.0,0.0,0.0,0.0,79.0,Autumn term
689,2019-11-24,2139.0,13.0,81.0,49.0,0.0,0.0,0.0,96.0,189.0,0.0,0.0,2.0,465.0,0.0,36.0,95.0,91.0,3.0,186.0,0.0,0.0,123.0,1.0,0.0,272.0,197.0,58.0,72.0,11.0,0.0,0.0,0.0,0.0,99.0,Autumn term
690,2019-11-25,5188.0,4.0,233.0,67.0,0.0,0.0,1.0,106.0,466.0,3.0,1.0,0.0,1539.0,0.0,56.0,206.0,163.0,1.0,399.0,1.0,0.0,189.0,2.0,1.0,515.0,751.0,171.0,148.0,5.0,0.0,0.0,0.0,0.0,160.0,Autumn term
691,2019-11-26,5510.0,5.0,144.0,41.0,0.0,0.0,1.0,84.0,511.0,4.0,0.0,0.0,1699.0,3.0,58.0,228.0,139.0,1.0,478.0,2.0,0.0,243.0,1.0,0.0,598.0,661.0,235.0,171.0,12.0,0.0,0.0,0.0,1.0,190.0,Autumn term
692,2019-11-27,4742.0,6.0,183.0,64.0,0.0,1.0,0.0,81.0,333.0,6.0,0.0,0.0,1274.0,0.0,41.0,200.0,161.0,0.0,472.0,0.0,0.0,221.0,0.0,0.0,506.0,589.0,192.0,219.0,1.0,0.0,0.0,0.0,0.0,192.0,Autumn term
693,2019-11-28,4944.0,0.0,211.0,51.0,0.0,0.0,0.0,90.0,388.0,6.0,0.0,0.0,1504.0,0.0,37.0,184.0,165.0,0.0,426.0,3.0,0.0,191.0,0.0,0.0,481.0,647.0,207.0,178.0,5.0,1.0,2.0,0.0,0.0,167.0,Autumn term
694,2019-11-29,3620.0,0.0,219.0,28.0,1.0,0.0,2.0,45.0,243.0,1.0,0.0,0.0,1020.0,1.0,64.0,149.0,122.0,0.0,287.0,0.0,0.0,145.0,5.0,0.0,363.0,540.0,144.0,94.0,2.0,0.0,0.0,0.0,0.0,145.0,Autumn term
695,2019-11-30,1832.0,2.0,171.0,26.0,0.0,0.0,0.0,24.0,142.0,0.0,1.0,0.0,493.0,0.0,51.0,71.0,63.0,0.0,154.0,0.0,0.0,44.0,1.0,0.0,173.0,207.0,52.0,55.0,14.0,0.0,0.0,0.0,1.0,87.0,Autumn term
696,2019-12-01,1993.0,5.0,181.0,28.0,0.0,7.0,0.0,74.0,178.0,0.0,0.0,0.0,504.0,7.0,45.0,74.0,51.0,0.0,192.0,1.0,0.0,77.0,1.0,0.0,163.0,186.0,63.0,55.0,10.0,0.0,1.0,0.0,2.0,88.0,Autumn term
697,2019-12-02,6564.0,2.0,323.0,76.0,1.0,0.0,1.0,87.0,580.0,7.0,0.0,0.0,2010.0,4.0,56.0,254.0,244.0,1.0,596.0,0.0,0.0,243.0,6.0,0.0,721.0,707.0,183.0,197.0,15.0,1.0,1.0,0.0,0.0,248.0,Autumn term
698,2019-12-03,7141.0,14.0,219.0,85.0,0.0,1.0,0.0,82.0,702.0,5.0,2.0,4.0,2226.0,9.0,86.0,265.0,237.0,2.0,608.0,0.0,0.0,290.0,4.0,0.0,755.0,849.0,223.0,224.0,12.0,0.0,0.0,0.0,0.0,237.0,Autumn term
699,2019-12-04,6293.0,21.0,285.0,76.0,0.0,0.0,2.0,74.0,526.0,11.0,1.0,2.0,1868.0,0.0,80.0,239.0,236.0,1.0,598.0,0.0,0.0,317.0,5.0,0.0,660.0,611.0,196.0,252.0,21.0,0.0,0.0,0.0,0.0,211.0,Autumn term
700,2019-12-05,7340.0,9.0,64.0,86.0,0.0,0.0,3.0,103.0,671.0,8.0,0.0,0.0,1862.0,3.0,111.0,261.0,436.0,2.0,846.0,0.0,0.0,560.0,3.0,0.0,797.0,696.0,248.0,345.0,15.0,0.0,0.0,0.0,0.0,211.0,Autumn term
701,2019-12-06,5684.0,6.0,61.0,77.0,1.0,0.0,3.0,67.0,550.0,6.0,0.0,0.0,1371.0,3.0,102.0,201.0,305.0,0.0,673.0,0.0,0.0,335.0,6.0,0.0,677.0,620.0,164.0,248.0,1.0,0.0,0.0,0.0,0.0,207.0,Autumn term
702,2019-12-07,2920.0,6.0,63.0,86.0,0.0,0.0,1.0,47.0,310.0,1.0,0.0,0.0,722.0,8.0,36.0,99.0,107.0,0.0,283.0,0.0,0.0,100.0,2.0,0.0,348.0,396.0,90.0,101.0,17.0,0.0,0.0,0.0,1.0,96.0,Autumn term
703,2019-12-08,3610.0,7.0,76.0,89.0,0.0,0.0,0.0,80.0,358.0,5.0,2.0,0.0,916.0,3.0,43.0,122.0,210.0,1.0,358.0,3.0,0.0,178.0,4.0,0.0,399.0,410.0,109.0,106.0,6.0,0.0,0.0,0.0,1.0,124.0,Autumn term
704,2019-12-09,8700.0,3.0,65.0,64.0,0.0,1.0,1.0,106.0,906.0,9.0,3.0,0.0,2316.0,3.0,125.0,306.0,515.0,4.0,909.0,0.0,0.0,590.0,3.0,0.0,966.0,953.0,270.0,341.0,3.0,0.0,0.0,0.0,0.0,238.0,Autumn term
705,2019-12-10,8034.0,9.0,79.0,68.0,0.0,0.0,1.0,102.0,752.0,8.0,0.0,5.0,2064.0,1.0,106.0,380.0,491.0,1.0,898.0,0.0,0.0,490.0,6.0,0.0,874.0,778.0,279.0,300.0,8.0,0.0,0.0,0.0,2.0,332.0,Autumn term
706,2019-12-11,6914.0,2.0,61.0,44.0,0.0,0.0,0.0,77.0,528.0,3.0,4.0,0.0,1895.0,0.0,84.0,321.0,334.0,0.0,785.0,0.0,0.0,486.0,2.0,0.0,828.0,643.0,279.0,298.0,5.0,0.0,0.0,0.0,0.0,235.0,Autumn term
707,2019-12-12,5414.0,1.0,20.0,35.0,1.0,0.0,0.0,98.0,389.0,0.0,4.0,0.0,1202.0,21.0,66.0,290.0,360.0,1.0,575.0,0.0,0.0,473.0,4.0,0.0,641.0,610.0,215.0,265.0,13.0,0.0,0.0,0.0,0.0,130.0,Autumn term
708,2019-12-13,3210.0,2.0,5.0,23.0,0.0,0.0,0.0,39.0,208.0,1.0,7.0,0.0,630.0,12.0,90.0,122.0,261.0,0.0,347.0,0.0,0.0,233.0,1.0,0.0,356.0,506.0,79.0,183.0,9.0,0.0,0.0,0.0,1.0,95.0,Autumn term
709,2019-12-14,1085.0,2.0,18.0,20.0,0.0,0.0,0.0,53.0,45.0,0.0,1.0,2.0,203.0,5.0,37.0,38.0,57.0,1.0,106.0,0.0,0.0,64.0,4.0,0.0,152.0,85.0,41.0,66.0,7.0,0.0,0.0,0.0,0.0,78.0,Christmas vacation 2
710,2019-12-15,997.0,3.0,6.0,14.0,0.0,0.0,0.0,61.0,51.0,5.0,0.0,0.0,140.0,3.0,40.0,35.0,49.0,3.0,105.0,0.0,0.0,84.0,4.0,0.0,95.0,85.0,48.0,69.0,13.0,1.0,0.0,0.0,0.0,83.0,Christmas vacation 2
711,2019-12-16,2041.0,1.0,15.0,48.0,1.0,0.0,2.0,73.0,112.0,7.0,0.0,0.0,304.0,2.0,54.0,52.0,106.0,1.0,323.0,0.0,0.0,246.0,0.0,0.0,219.0,107.0,48.0,154.0,10.0,0.0,0.0,1.0,0.0,155.0,Christmas vacation 2
712,2019-12-17,1957.0,13.0,15.0,34.0,0.0,0.0,0.0,47.0,98.0,0.0,0.0,0.0,297.0,4.0,66.0,69.0,98.0,1.0,289.0,0.0,0.0,212.0,0.0,0.0,173.0,115.0,61.0,148.0,21.0,0.0,0.0,0.0,0.0,196.0,Christmas vacation 2
713,2019-12-18,1621.0,13.0,13.0,47.0,0.0,1.0,1.0,45.0,80.0,5.0,0.0,0.0,252.0,1.0,57.0,101.0,73.0,0.0,191.0,1.0,0.0,65.0,6.0,0.0,179.0,103.0,37.0,137.0,23.0,0.0,0.0,0.0,0.0,190.0,Christmas vacation 2
714,2019-12-19,1301.0,12.0,7.0,23.0,0.0,0.0,2.0,28.0,54.0,0.0,0.0,0.0,214.0,0.0,53.0,58.0,54.0,0.0,201.0,0.0,0.0,65.0,6.0,0.0,115.0,82.0,25.0,118.0,24.0,0.0,0.0,0.0,0.0,160.0,Christmas vacation 2
715,2019-12-20,1093.0,7.0,1.0,30.0,0.0,0.0,1.0,4.0,33.0,1.0,0.0,0.0,197.0,1.0,42.0,63.0,31.0,5.0,131.0,0.0,0.0,51.0,0.0,0.0,85.0,42.0,21.0,130.0,16.0,0.0,0.0,0.0,0.0,201.0,Christmas vacation 2
716,2019-12-21,560.0,10.0,0.0,22.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,1.0,110.0,1.0,14.0,26.0,18.0,1.0,66.0,1.0,0.0,33.0,1.0,0.0,43.0,27.0,3.0,47.0,11.0,0.0,0.0,0.0,0.0,106.0,Christmas vacation 2
717,2019-12-22,595.0,13.0,3.0,31.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,110.0,3.0,17.0,37.0,8.0,2.0,79.0,0.0,0.0,26.0,1.0,0.0,45.0,23.0,13.0,46.0,16.0,0.0,0.0,0.0,0.0,99.0,Christmas vacation 2
718,2019-12-23,537.0,4.0,0.0,26.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,100.0,0.0,23.0,40.0,27.0,0.0,50.0,0.0,0.0,21.0,0.0,0.0,57.0,16.0,14.0,37.0,4.0,0.0,0.0,0.0,0.0,103.0,Christmas vacation 2
719,2019-12-24,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Christmas vacation 2
720,2019-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christmas vacation 2
721,2019-12-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christmas vacation 2
722,2019-12-27,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Christmas vacation 2
723,2019-12-28,535.0,2.0,1.0,30.0,0.0,0.0,0.0,9.0,8.0,0.0,2.0,0.0,121.0,0.0,17.0,20.0,17.0,2.0,60.0,0.0,0.0,13.0,2.0,0.0,30.0,19.0,21.0,43.0,7.0,0.0,0.0,0.0,0.0,111.0,Christmas vacation 2
724,2019-12-29,792.0,5.0,4.0,27.0,0.0,0.0,0.0,10.0,31.0,0.0,3.0,0.0,165.0,0.0,19.0,29.0,41.0,3.0,68.0,0.0,0.0,48.0,0.0,0.0,60.0,17.0,27.0,36.0,13.0,0.0,0.0,0.0,0.0,186.0,Christmas vacation 2
725,2019-12-30,991.0,0.0,1.0,25.0,0.0,0.0,0.0,7.0,40.0,1.0,3.0,0.0,219.0,1.0,20.0,39.0,32.0,2.0,106.0,1.0,0.0,46.0,0.0,0.0,84.0,55.0,44.0,62.0,4.0,0.0,0.0,0.0,0.0,199.0,Christmas vacation 2
726,2019-12-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Christmas vacation 2
