index,Date,IN,OUT,Postgraduate,Undergraduate,Assistive-Tech,Library-Staff,Staff,Sconul,Default,BN,Other,Term_dates,Pressure_in,Month,Day,Condition,temp_hi,temp_low,day
637.0,2019-10-03,5992.0,6017.0,1150.0,4071.0,333.0,3.0,98.0,6.0,88.0,7.0,236.0,Autumn term,0,2019_10,3,foggy,14,2,03
638.0,2019-10-04,4804.0,4961.0,978.0,3174.0,277.0,0.0,89.0,8.0,133.0,6.0,139.0,Autumn term,0,2019_10,4,scattered showers,15,9,04
639.0,2019-10-05,554.0,738.0,116.0,335.0,20.0,1.0,2.0,3.0,31.0,2.0,44.0,Autumn term,0,2019_10,5,mostly cloudy,15,7,05
640.0,2019-10-06,1376.0,1364.0,294.0,898.0,50.0,0.0,15.0,5.0,41.0,15.0,58.0,Autumn term,0,2019_10,6,partly cloudy,17,12,06
641.0,2019-10-07,6959.0,7073.0,1302.0,4714.0,390.0,3.0,120.0,11.0,176.0,13.0,230.0,Autumn term,0,2019_10,7,scattered showers,15,10,07
642.0,2019-10-08,5620.0,6873.0,1073.0,3321.0,275.0,6.0,97.0,7.0,79.0,13.0,749.0,Autumn term,0,2019_10,8,mostly sunny,17,10,08
643.0,2019-10-09,4471.0,4401.0,1009.0,2721.0,215.0,4.0,108.0,10.0,112.0,14.0,278.0,Autumn term,0,2019_10,9,mostly sunny,15,9,09
644.0,2019-10-10,6345.0,6645.0,1080.0,4504.0,363.0,3.0,102.0,4.0,72.0,18.0,199.0,Autumn term,0,2019_10,10,mostly sunny,16,8,10
645.0,2019-10-11,4420.0,4641.0,836.0,3062.0,252.0,3.0,80.0,6.0,61.0,10.0,110.0,Autumn term,0,2019_10,11,scattered showers,16,12,11
646.0,2019-10-12,845.0,984.0,193.0,489.0,30.0,4.0,27.0,6.0,20.0,4.0,72.0,Autumn term,0,2019_10,12,scattered showers,12,11,12
647.0,2019-10-13,1448.0,1443.0,297.0,924.0,62.0,0.0,11.0,11.0,47.0,18.0,78.0,Autumn term,0,2019_10,13,scattered showers,18,9,13
648.0,2019-10-14,6990.0,7004.0,1251.0,4836.0,375.0,4.0,94.0,9.0,142.0,15.0,264.0,Autumn term,0,2019_10,14,scattered showers,16,9,14
649.0,2019-10-15,7036.0,7168.0,1318.0,4890.0,356.0,2.0,87.0,9.0,65.0,20.0,289.0,Autumn term,0,2019_10,15,mostly cloudy,16,10,15
650.0,2019-10-16,4967.0,5145.0,1090.0,3145.0,268.0,9.0,90.0,13.0,152.0,20.0,180.0,Autumn term,0,2019_10,16,mostly cloudy,16,10,16
651.0,2019-10-17,6276.0,6489.0,1146.0,4373.0,356.0,5.0,88.0,11.0,64.0,27.0,206.0,Autumn term,0,2019_10,17,scattered showers,14,7,17
652.0,2019-10-18,4653.0,4811.0,883.0,3205.0,246.0,2.0,79.0,9.0,113.0,9.0,107.0,Autumn term,0,2019_10,18,mostly sunny,14,9,18
653.0,2019-10-19,1042.0,1139.0,212.0,659.0,50.0,1.0,10.0,7.0,45.0,7.0,51.0,Autumn term,0,2019_10,19,mostly sunny,15,6,19
654.0,2019-10-20,1511.0,1533.0,264.0,966.0,93.0,0.0,29.0,4.0,65.0,17.0,73.0,Autumn term,0,2019_10,20,partly cloudy,12,3,20
655.0,2019-10-21,7000.0,7378.0,1228.0,4836.0,399.0,5.0,98.0,10.0,179.0,20.0,225.0,Autumn term,0,2019_10,21,scattered showers,12,10,21
656.0,2019-10-22,6942.0,7220.0,1310.0,4872.0,365.0,2.0,91.0,3.0,81.0,27.0,191.0,Autumn term,0,2019_10,22,mostly sunny,15,4,22
657.0,2019-10-23,5321.0,5435.0,1160.0,3454.0,306.0,1.0,82.0,6.0,148.0,17.0,147.0,Autumn term,0,2019_10,23,foggy,15,2,23
658.0,2019-10-24,6510.0,6654.0,1013.0,4627.0,414.0,2.0,70.0,13.0,109.0,15.0,247.0,Autumn term,0,2019_10,24,foggy,13,10,24
659.0,2019-10-25,5087.0,5188.0,1065.0,3369.0,334.0,3.0,78.0,14.0,75.0,9.0,140.0,Autumn term,0,2019_10,25,scattered showers,16,10,25
660.0,2019-10-26,1277.0,1391.0,285.0,848.0,63.0,2.0,10.0,9.0,13.0,4.0,43.0,Autumn term,0,2019_10,26,scattered showers,17,7,26
661.0,2019-10-27,2059.0,2023.0,392.0,1427.0,96.0,0.0,35.0,3.0,42.0,9.0,55.0,Autumn term,0,2019_10,27,mostly sunny,11,3,27
662.0,2019-10-28,7862.0,7977.0,1308.0,5515.0,456.0,5.0,90.0,7.0,186.0,20.0,275.0,Autumn term,0,2019_10,28,mostly sunny,11,0,28
663.0,2019-10-29,7524.0,7738.0,1373.0,5265.0,416.0,2.0,100.0,9.0,116.0,22.0,221.0,Autumn term,0,2019_10,29,partly cloudy,12,7,29
664.0,2019-10-30,6281.0,6407.0,1161.0,4309.0,341.0,1.0,92.0,11.0,123.0,21.0,222.0,Autumn term,0,2019_10,30,mostly sunny,12,6,30
665.0,2019-10-31,5741.0,5897.0,1083.0,4025.0,350.0,2.0,87.0,11.0,29.0,14.0,140.0,Autumn term,0,2019_10,31,foggy,12,5,31
666.0,2019-11-01,3662.0,3587.0,846.0,2384.0,191.0,5.0,77.0,8.0,40.0,8.0,103.0,Autumn term,0,2019_11,1,scattered showers,15,8,01
667.0,2019-11-02,1162.0,1383.0,291.0,692.0,77.0,2.0,18.0,1.0,22.0,6.0,53.0,Autumn term,0,2019_11,2,scattered showers,14,10,02
668.0,2019-11-03,2769.0,2773.0,582.0,1822.0,168.0,0.0,18.0,7.0,56.0,9.0,107.0,Autumn term,0,2019_11,3,mostly sunny,13,4,03
669.0,2019-11-04,6805.0,6822.0,1338.0,4586.0,419.0,3.0,91.0,9.0,104.0,25.0,230.0,Autumn term,0,2019_11,4,scattered showers,11,6,04
670.0,2019-11-05,6284.0,6387.0,1145.0,4420.0,381.0,2.0,92.0,11.0,45.0,40.0,148.0,Autumn term,0,2019_11,5,foggy,12,6,05
671.0,2019-11-06,5675.0,5732.0,1138.0,3816.0,311.0,0.0,121.0,4.0,75.0,28.0,182.0,Autumn term,0,2019_11,6,mostly sunny,9,4,06
672.0,2019-11-07,6823.0,6509.0,1018.0,4946.0,429.0,3.0,108.0,1.0,64.0,23.0,231.0,Autumn term,0,2019_11,7,mostly sunny,10,2,07
673.0,2019-11-08,5191.0,5715.0,993.0,3605.0,297.0,3.0,77.0,9.0,59.0,24.0,124.0,Autumn term,0,2019_11,8,foggy,8,-1,08
674.0,2019-11-09,2099.0,2146.0,407.0,1370.0,109.0,1.0,15.0,10.0,57.0,22.0,108.0,Autumn term,0,2019_11,9,foggy,8,-1,09
675.0,2019-11-10,2776.0,2789.0,477.0,1962.0,153.0,2.0,20.0,8.0,55.0,22.0,77.0,Autumn term,0,2019_11,10,mostly sunny,10,4,10
676.0,2019-11-11,8023.0,8178.0,1195.0,5824.0,533.0,5.0,91.0,6.0,145.0,27.0,197.0,Autumn term,0,2019_11,11,partly cloudy,9,4,11
677.0,2019-11-12,8552.0,8807.0,1360.0,6031.0,530.0,2.0,103.0,9.0,52.0,23.0,442.0,Autumn term,0,2019_11,12,mostly sunny,8,3,12
678.0,2019-11-13,7405.0,7566.0,1280.0,5122.0,465.0,0.0,115.0,9.0,120.0,30.0,264.0,Autumn term,0,2019_11,13,mostly sunny,9,3,13
679.0,2019-11-14,7588.0,7956.0,930.0,5703.0,513.0,2.0,90.0,7.0,99.0,20.0,224.0,Autumn term,0,2019_11,14,foggy,9,1,14
680.0,2019-11-15,5289.0,5455.0,868.0,3718.0,405.0,1.0,61.0,8.0,69.0,17.0,142.0,Autumn term,0,2019_11,15,scattered showers,8,3,15
681.0,2019-11-16,2163.0,2208.0,452.0,1427.0,110.0,0.0,7.0,4.0,53.0,28.0,82.0,Autumn term,0,2019_11,16,mostly cloudy,8,5,16
682.0,2019-11-17,2799.0,2825.0,538.0,1886.0,166.0,0.0,10.0,2.0,94.0,17.0,86.0,Autumn term,0,2019_11,17,foggy,9,2,17
683.0,2019-11-18,7761.0,7929.0,1174.0,5483.0,553.0,0.0,79.0,10.0,158.0,22.0,282.0,Autumn term,0,2019_11,18,partly cloudy,9,0,18
684.0,2019-11-19,7584.0,7665.0,1222.0,5388.0,518.0,1.0,60.0,10.0,87.0,27.0,271.0,Autumn term,0,2019_11,19,foggy,7,-3,19
685.0,2019-11-20,6650.0,6768.0,1046.0,4632.0,492.0,0.0,78.0,8.0,173.0,42.0,179.0,Autumn term,0,2019_11,20,mostly sunny,7,1,20
686.0,2019-11-21,6558.0,6719.0,1030.0,4625.0,464.0,2.0,72.0,8.0,127.0,31.0,199.0,Autumn term,0,2019_11,21,foggy,8,3,21
687.0,2019-11-22,5004.0,5122.0,813.0,3441.0,390.0,1.0,69.0,8.0,136.0,26.0,120.0,Autumn term,0,2019_11,22,partly cloudy,9,6,22
688.0,2019-11-23,1490.0,1557.0,281.0,886.0,125.0,0.0,3.0,13.0,107.0,10.0,65.0,Autumn term,0,2019_11,23,scattered showers,11,7,23
689.0,2019-11-24,2139.0,2121.0,383.0,1386.0,155.0,0.0,6.0,5.0,83.0,30.0,91.0,Autumn term,0,2019_11,24,foggy,12,7,24
690.0,2019-11-25,5188.0,5208.0,872.0,3557.0,326.0,0.0,57.0,4.0,237.0,18.0,117.0,Autumn term,0,2019_11,25,scattered showers,12,9,25
691.0,2019-11-26,5510.0,5559.0,961.0,3801.0,342.0,1.0,76.0,2.0,145.0,31.0,151.0,Autumn term,0,2019_11,26,scattered showers,13,9,26
692.0,2019-11-27,4742.0,4784.0,816.0,3166.0,340.0,0.0,86.0,6.0,180.0,13.0,135.0,Autumn term,0,2019_11,27,scattered showers,12,9,27
693.0,2019-11-28,4944.0,5022.0,891.0,3312.0,302.0,1.0,83.0,11.0,209.0,19.0,116.0,Autumn term,0,2019_11,28,mostly cloudy,10,7,28
694.0,2019-11-29,3620.0,3754.0,632.0,2350.0,240.0,3.0,65.0,6.0,221.0,11.0,92.0,Autumn term,0,2019_11,29,mostly sunny,8,0,29
695.0,2019-11-30,1832.0,1875.0,334.0,1086.0,120.0,1.0,17.0,13.0,169.0,20.0,72.0,Autumn term,0,2019_11,30,foggy,7,-2,30
696.0,2019-12-01,1993.0,1971.0,345.0,1240.0,97.0,1.0,17.0,5.0,180.0,29.0,79.0,Autumn term,0,2019_12,1,mostly sunny,7,2,01
697.0,2019-12-02,6564.0,6504.0,965.0,4527.0,429.0,3.0,77.0,4.0,324.0,38.0,197.0,Autumn term,0,2019_12,2,mostly sunny,6,-2,02
698.0,2019-12-03,7141.0,7172.0,1118.0,5035.0,430.0,5.0,85.0,6.0,220.0,56.0,186.0,Autumn term,0,2019_12,3,mostly sunny,9,0,03
699.0,2019-12-04,6293.0,6425.0,1134.0,4179.0,398.0,2.0,71.0,10.0,282.0,62.0,155.0,Autumn term,0,2019_12,4,foggy,7,-2,04
700.0,2019-12-05,7340.0,7443.0,1269.0,5212.0,503.0,3.0,76.0,10.0,61.0,40.0,166.0,Autumn term,0,2019_12,5,foggy,10,-3,05
701.0,2019-12-06,5684.0,5878.0,1062.0,3853.0,434.0,14.0,77.0,12.0,62.0,28.0,142.0,Autumn term,0,2019_12,6,scattered showers,13,8,06
702.0,2019-12-07,2920.0,3026.0,563.0,1965.0,189.0,1.0,8.0,8.0,64.0,37.0,85.0,Autumn term,0,2019_12,7,mostly cloudy,11,7,07
703.0,2019-12-08,3610.0,3591.0,639.0,2490.0,241.0,0.0,11.0,10.0,75.0,34.0,110.0,Autumn term,0,2019_12,8,scattered showers,12,6,08
704.0,2019-12-09,8700.0,8616.0,1391.0,6271.0,649.0,10.0,97.0,7.0,65.0,30.0,180.0,Autumn term,0,2019_12,9,partly cloudy,10,0,09
705.0,2019-12-10,8034.0,8223.0,1058.0,5895.0,576.0,5.0,97.0,2.0,80.0,41.0,280.0,Autumn term,0,2019_12,10,scattered showers,11,-2,10
706.0,2019-12-11,6914.0,7006.0,1270.0,4782.0,511.0,2.0,83.0,5.0,67.0,16.0,178.0,Autumn term,0,2019_12,11,mostly sunny,8,2,11
707.0,2019-12-12,5414.0,5655.0,909.0,3818.0,454.0,3.0,63.0,3.0,21.0,44.0,99.0,Autumn term,0,2019_12,12,scattered showers,9,-2,12
708.0,2019-12-13,3210.0,3350.0,704.0,2080.0,268.0,3.0,42.0,7.0,6.0,33.0,67.0,Autumn term,0,2019_12,13,partly cloudy,8,6,13
709.0,2019-12-14,1085.0,1114.0,299.0,583.0,80.0,2.0,5.0,8.0,18.0,22.0,68.0,Christmas vacation 2,0,2019_12,14,mostly sunny,10,5,14
710.0,2019-12-15,997.0,1018.0,272.0,535.0,61.0,1.0,7.0,7.0,7.0,32.0,75.0,Christmas vacation 2,0,2019_12,15,mostly sunny,9,6,15
711.0,2019-12-16,2041.0,2006.0,597.0,1092.0,134.0,6.0,52.0,7.0,15.0,23.0,115.0,Christmas vacation 2,0,2019_12,16,scattered showers,9,6,16
712.0,2019-12-17,1957.0,1979.0,530.0,1000.0,143.0,3.0,55.0,2.0,11.0,50.0,163.0,Christmas vacation 2,0,2019_12,17,scattered showers,7,3,17
713.0,2019-12-18,1621.0,1664.0,483.0,710.0,136.0,5.0,66.0,5.0,13.0,49.0,154.0,Christmas vacation 2,0,2019_12,18,mostly sunny,11,0,18
714.0,2019-12-19,1301.0,1352.0,472.0,523.0,72.0,3.0,56.0,7.0,6.0,47.0,115.0,Christmas vacation 2,0,2019_12,19,scattered showers,13,10,19
715.0,2019-12-20,1093.0,1120.0,456.0,326.0,61.0,3.0,41.0,6.0,1.0,34.0,165.0,Christmas vacation 2,0,2019_12,20,scattered showers,10,5,20
716.0,2019-12-21,560.0,593.0,249.0,164.0,11.0,0.0,3.0,6.0,1.0,27.0,99.0,Christmas vacation 2,0,2019_12,21,scattered showers,10,7,21
717.0,2019-12-22,595.0,600.0,268.0,171.0,12.0,1.0,8.0,3.0,3.0,35.0,94.0,Christmas vacation 2,0,2019_12,22,mostly sunny,10,7,22
718.0,2019-12-23,537.0,561.0,251.0,153.0,19.0,5.0,7.0,3.0,0.0,8.0,91.0,Christmas vacation 2,0,2019_12,23,mostly sunny,10,5,23
719.0,2019-12-24,8.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Christmas vacation 2,0,2019_12,24,scattered showers,12,8,24
720.0,2019-12-25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christmas vacation 2,0,2019_12,25,mostly sunny,9,0,25
721.0,2019-12-26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Christmas vacation 2,0,2019_12,26,scattered showers,10,0,26
722.0,2019-12-27,8.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,Christmas vacation 2,0,2019_12,27,foggy,9,5,27
723.0,2019-12-28,535.0,527.0,203.0,178.0,19.0,0.0,12.0,3.0,0.0,18.0,102.0,Christmas vacation 2,0,2019_12,28,foggy,9,3,28
724.0,2019-12-29,792.0,797.0,247.0,285.0,42.0,3.0,7.0,8.0,4.0,25.0,171.0,Christmas vacation 2,0,2019_12,29,mostly cloudy,9,2,29
725.0,2019-12-30,991.0,1004.0,261.0,422.0,79.0,4.0,21.0,6.0,1.0,12.0,185.0,Christmas vacation 2,0,2019_12,30,foggy,10,0,30
726.0,2019-12-31,3.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Christmas vacation 2,0,2019_12,31,foggy,9,2,31
,2018-01-01,,,,,,,,,,,,,0,2018_01,1,scattered showers,7,5,01
,2018-12-25,,,,,,,,,,,,,0,2018_12,25,mostly cloudy,8,-2,25
,2018-12-26,,,,,,,,,,,,,0,2018_12,26,foggy,9,3,26
